"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,4,4,7.38,"Aperiodic",4,1.245,1
1,2,2,3.69,"Periodic",5,1.382,1
1,4,4,7.38,"Periodic",4,1.015,1
1,-4,4,-7.38,"Aperiodic",5,1.517,1
1,-1,1,-1.845,"Periodic",5,1.59,1
1,-1,1,-1.845,"Periodic",4,1.084,1
1,-2,2,-3.69,"Periodic",4,1.241,1
1,-4,4,-7.38,"Aperiodic",4,0.881,1
1,-1,1,-1.845,"Aperiodic",6,1.719,0
1,4,4,7.38,"Aperiodic",3,0.773,1
1,4,4,7.38,"Aperiodic",4,1.468,1
1,-4,4,-7.38,"Periodic",7,2.331,1
1,1,1,1.845,"Periodic",6,1.674,1
1,-4,4,-7.38,"Periodic",3,0.892,1
1,-2,2,-3.69,"Periodic",3,0.856,1
1,-4,4,-7.38,"Periodic",3,0.727,1
1,2,2,3.69,"Aperiodic",4,1.549,1
1,-4,4,-7.38,"Periodic",2,0.602,1
1,-2,2,-3.69,"Periodic",4,1.265,0
1,1,1,1.845,"Aperiodic",3,0.902,1
1,4,4,7.38,"Aperiodic",4,1.151,1
1,1,1,1.845,"Aperiodic",5,1.311,0
1,1,1,1.845,"Periodic",8,2.474,0
1,-1,1,-1.845,"Aperiodic",4,1.172,1
1,4,4,7.38,"Aperiodic",3,0.882,1
1,-1,1,-1.845,"Aperiodic",9,2.938,1
1,-4,4,-7.38,"Aperiodic",3,0.818,1
1,-2,2,-3.69,"Aperiodic",4,1.177,1
1,2,2,3.69,"Aperiodic",7,1.898,1
1,-2,2,-3.69,"Periodic",3,0.908,1
1,-4,4,-7.38,"Periodic",3,0.738,1
1,-2,2,-3.69,"Aperiodic",5,1.494,1
1,-1,1,-1.845,"Periodic",4,1.114,1
1,1,1,1.845,"Periodic",4,1.077,1
1,-1,1,-1.845,"Periodic",3,0.856,1
1,4,4,7.38,"Periodic",4,1.168,1
1,2,2,3.69,"Aperiodic",3,0.848,1
1,1,1,1.845,"Aperiodic",4,1.21,1
1,1,1,1.845,"Periodic",5,1.635,1
1,1,1,1.845,"Aperiodic",3,0.717,1
1,-1,1,-1.845,"Aperiodic",3,1.076,1
1,2,2,3.69,"Periodic",5,1.382,1
1,-4,4,-7.38,"Periodic",3,0.958,1
1,-2,2,-3.69,"Aperiodic",4,1.12,1
1,-1,1,-1.845,"Periodic",7,2.122,1
1,1,1,1.845,"Periodic",4,1.262,1
1,-4,4,-7.38,"Aperiodic",4,1.353,1
1,-1,1,-1.845,"Aperiodic",3,0.987,0
1,4,4,7.38,"Aperiodic",4,1.035,1
