"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,-1,1,-1.845,"Aperiodic",5,1.3,0
1,4,4,7.38,"Periodic",7,2.272,1
1,1,1,1.845,"Aperiodic",6,1.999,1
1,2,2,3.69,"Periodic",6,1.717,1
1,-2,2,-3.69,"Aperiodic",5,1.417,0
1,-4,4,-7.38,"Aperiodic",3,1.026,0
1,-1,1,-1.845,"Periodic",4,1.034,0
1,1,1,1.845,"Periodic",4,1.295,1
1,-1,1,-1.845,"Aperiodic",5,1.47,1
1,1,1,1.845,"Periodic",4,1.039,1
1,1,1,1.845,"Aperiodic",5,1.247,1
1,2,2,3.69,"Periodic",3,0.725,1
1,2,2,3.69,"Aperiodic",5,1.545,1
1,2,2,3.69,"Periodic",7,2.145,1
1,-1,1,-1.845,"Aperiodic",6,1.823,0
1,2,2,3.69,"Periodic",5,1.37,1
1,-2,2,-3.69,"Aperiodic",4,1.226,0
1,1,1,1.845,"Aperiodic",7,2.392,1
1,2,2,3.69,"Aperiodic",10,3.1,1
1,-2,2,-3.69,"Aperiodic",6,2.256,0
1,-2,2,-3.69,"Periodic",5,1.608,0
1,4,4,7.38,"Periodic",5,1.618,1
1,-4,4,-7.38,"Aperiodic",5,1.637,0
1,4,4,7.38,"Periodic",5,1.393,1
1,4,4,7.38,"Aperiodic",4,1.245,1
1,0,0,0,"Aperiodic",5,1.502,0
1,0,0,0,"Periodic",6,1.839,1
1,0,0,0,"Periodic",7,2.269,0
1,2,2,3.69,"Periodic",5,1.382,1
1,4,4,7.38,"Periodic",4,1.015,1
1,-4,4,-7.38,"Aperiodic",5,1.517,0
1,-1,1,-1.845,"Periodic",5,1.59,0
1,-1,1,-1.845,"Periodic",4,1.084,0
1,-2,2,-3.69,"Periodic",4,1.241,0
1,0,0,0,"Periodic",4,1.315,0
1,0,0,0,"Aperiodic",5,1.315,1
1,-4,4,-7.38,"Aperiodic",4,0.881,0
1,-1,1,-1.845,"Aperiodic",6,1.719,1
1,4,4,7.38,"Aperiodic",3,0.773,1
1,4,4,7.38,"Aperiodic",4,1.468,1
1,-4,4,-7.38,"Periodic",7,2.331,0
1,1,1,1.845,"Periodic",6,1.674,1
1,0,0,0,"Aperiodic",3,0.859,0
1,-4,4,-7.38,"Periodic",3,0.892,0
1,-2,2,-3.69,"Periodic",3,0.856,0
1,-4,4,-7.38,"Periodic",3,0.727,0
1,2,2,3.69,"Aperiodic",4,1.549,1
1,0,0,0,"Aperiodic",5,1.361,1
1,-4,4,-7.38,"Periodic",2,0.602,0
1,-2,2,-3.69,"Periodic",4,1.265,1
1,1,1,1.845,"Aperiodic",3,0.902,1
1,0,0,0,"Periodic",6,1.959,1
1,4,4,7.38,"Aperiodic",4,1.151,1
1,1,1,1.845,"Aperiodic",5,1.311,0
1,0,0,0,"Aperiodic",4,1.22,0
1,1,1,1.845,"Periodic",8,2.474,0
1,-1,1,-1.845,"Aperiodic",4,1.172,0
1,4,4,7.38,"Aperiodic",3,0.882,1
1,-1,1,-1.845,"Aperiodic",9,2.938,0
1,-4,4,-7.38,"Aperiodic",3,0.818,0
1,-2,2,-3.69,"Aperiodic",4,1.177,0
1,2,2,3.69,"Aperiodic",7,1.898,1
1,0,0,0,"Periodic",7,2.02,0
1,-2,2,-3.69,"Periodic",3,0.908,0
1,-4,4,-7.38,"Periodic",3,0.738,0
1,-2,2,-3.69,"Aperiodic",5,1.494,0
1,-1,1,-1.845,"Periodic",4,1.114,0
1,1,1,1.845,"Periodic",4,1.077,1
1,-1,1,-1.845,"Periodic",3,0.856,0
1,4,4,7.38,"Periodic",4,1.168,1
1,2,2,3.69,"Aperiodic",3,0.848,1
1,1,1,1.845,"Aperiodic",4,1.21,1
1,1,1,1.845,"Periodic",5,1.635,1
1,1,1,1.845,"Aperiodic",3,0.717,1
1,-1,1,-1.845,"Aperiodic",3,1.076,0
1,2,2,3.69,"Periodic",5,1.382,1
1,-4,4,-7.38,"Periodic",3,0.958,0
1,-2,2,-3.69,"Aperiodic",4,1.12,0
1,-1,1,-1.845,"Periodic",7,2.122,0
1,1,1,1.845,"Periodic",4,1.262,1
1,-4,4,-7.38,"Aperiodic",4,1.353,0
1,-1,1,-1.845,"Aperiodic",3,0.987,1
1,4,4,7.38,"Aperiodic",4,1.035,1
1,-2,2,-3.69,"Periodic",4,1.213,0
1,2,2,3.69,"Periodic",4,1.315,1
1,-2,2,-3.69,"Periodic",4,1.278,0
1,4,4,7.38,"Periodic",5,1.489,1
1,-1,1,-1.845,"Periodic",4,1.01,0
1,0,0,0,"Periodic",3,0.992,1
1,0,0,0,"Periodic",5,1.335,1
1,2,2,3.69,"Periodic",3,0.98,1
1,2,2,3.69,"Aperiodic",3,0.787,1
1,-2,2,-3.69,"Aperiodic",6,1.703,0
1,-2,2,-3.69,"Aperiodic",4,1.447,0
1,4,4,7.38,"Periodic",2,0.571,1
1,4,4,7.38,"Aperiodic",3,0.542,1
1,-4,4,-7.38,"Aperiodic",3,0.912,1
1,4,4,7.38,"Periodic",3,0.827,1
1,0,0,0,"Aperiodic",5,1.965,0
1,4,4,7.38,"Periodic",3,0.762,1
1,-4,4,-7.38,"Aperiodic",6,1.799,0
1,2,2,3.69,"Periodic",5,1.427,1
1,-1,1,-1.845,"Periodic",5,1.608,0
1,1,1,1.845,"Periodic",5,1.611,0
1,4,4,7.38,"Aperiodic",4,1.246,1
1,-4,4,-7.38,"Periodic",4,1.163,0
1,1,1,1.845,"Periodic",6,1.748,1
1,0,0,0,"Aperiodic",7,2.161,0
1,0,0,0,"Periodic",3,0.881,1
1,4,4,7.38,"Aperiodic",3,0.729,1
1,1,1,1.845,"Aperiodic",7,2.198,1
1,-4,4,-7.38,"Aperiodic",4,1.236,0
1,-1,1,-1.845,"Periodic",8,2.483,0
1,-4,4,-7.38,"Aperiodic",4,1.113,0
1,-2,2,-3.69,"Periodic",4,1.004,0
1,2,2,3.69,"Aperiodic",3,0.806,1
1,0,0,0,"Aperiodic",8,2.437,1
1,2,2,3.69,"Periodic",2,0.654,1
1,0,0,0,"Periodic",5,1.417,1
1,-1,1,-1.845,"Periodic",6,1.819,0
1,-4,4,-7.38,"Periodic",4,1.078,0
1,1,1,1.845,"Aperiodic",5,1.343,1
1,0,0,0,"Periodic",7,2.075,1
1,-1,1,-1.845,"Aperiodic",8,2.523,0
1,-2,2,-3.69,"Aperiodic",7,2.227,1
1,2,2,3.69,"Aperiodic",3,0.855,1
1,-2,2,-3.69,"Aperiodic",7,2.082,0
1,-4,4,-7.38,"Periodic",4,1.133,0
1,2,2,3.69,"Aperiodic",4,1.274,1
1,-1,1,-1.845,"Aperiodic",8,2.966,0
1,1,1,1.845,"Periodic",4,1.142,1
1,0,0,0,"Aperiodic",3,1.205,1
1,-2,2,-3.69,"Periodic",5,1.558,0
1,4,4,7.38,"Periodic",4,1.242,1
1,-1,1,-1.845,"Aperiodic",7,2.096,0
1,2,2,3.69,"Aperiodic",4,1.005,1
1,1,1,1.845,"Aperiodic",3,0.897,1
1,0,0,0,"Aperiodic",7,2.339,0
1,4,4,7.38,"Aperiodic",5,1.548,1
1,-4,4,-7.38,"Periodic",4,1.226,0
1,-2,2,-3.69,"Periodic",3,0.976,0
1,-2,2,-3.69,"Periodic",6,1.783,0
1,-2,2,-3.69,"Periodic",4,1.043,0
1,2,2,3.69,"Periodic",4,1.041,1
1,1,1,1.845,"Aperiodic",8,2.561,1
1,-1,1,-1.845,"Periodic",4,1.122,0
1,-4,4,-7.38,"Aperiodic",3,0.974,0
1,-2,2,-3.69,"Periodic",2,0.602,0
1,-2,2,-3.69,"Aperiodic",2,0.612,0
1,-4,4,-7.38,"Periodic",3,0.779,0
1,4,4,7.38,"Periodic",3,0.816,1
1,4,4,7.38,"Aperiodic",2,0.61,1
1,0,0,0,"Periodic",5,1.346,0
1,-1,1,-1.845,"Aperiodic",5,1.268,1
1,-4,4,-7.38,"Aperiodic",4,1.244,0
1,2,2,3.69,"Aperiodic",7,2.188,1
1,-2,2,-3.69,"Aperiodic",6,1.991,0
1,-1,1,-1.845,"Periodic",4,1.197,0
1,2,2,3.69,"Periodic",8,2.403,1
1,0,0,0,"Aperiodic",4,1.203,1
1,-4,4,-7.38,"Periodic",4,1.055,0
1,-4,4,-7.38,"Aperiodic",2,0.753,0
1,4,4,7.38,"Periodic",8,2.371,1
1,-1,1,-1.845,"Aperiodic",7,2.228,0
1,-2,2,-3.69,"Aperiodic",10,2.903,0
1,1,1,1.845,"Periodic",4,1.115,1
1,0,0,0,"Periodic",6,1.723,1
1,4,4,7.38,"Periodic",5,1.34,1
1,1,1,1.845,"Periodic",7,2.08,0
1,1,1,1.845,"Aperiodic",8,2.609,1
1,0,0,0,"Aperiodic",7,2.531,1
1,2,2,3.69,"Periodic",5,1.381,1
1,1,1,1.845,"Periodic",8,2.44,0
1,-2,2,-3.69,"Periodic",9,2.856,0
